Name,Material efficiency,Process efficiency,Energy efficiency,R&D,Demonstration projects,Renewable energy technologies,CCUS,Hydrogen based reduction,Fuel switching,Strategic partnership,Knowledge sharing,Green steel market development,Carbon tax,Carbon trading mechanism,Net-zero targets,TOTAL SCORE,Cluster
Apple Co.,3,3,3,3,3,3,1,3,3,0,3,2,2,0,3,35,1
Apricot Co.,3,3,3,3,0,3,1,1,3,2,3,3,1,1,3,33,2
Avocado Co.,3,3,3,3,3,3,0,2,3,0,3,0,0,1,3,30,1
Banana Co.,3,3,3,3,3,3,3,3,3,0,3,1,0,2,3,36,1
Blackberry Co.,3,3,3,3,3,0,0,3,2,2,3,1,0,2,0,28,0
Blueberry Co.,3,3,3,3,3,3,2,2,0,0,0,1,3,2,0,28,1
Cherry Co.,3,3,3,3,3,3,0,2,0,0,3,1,3,2,0,29,1
Coconut Co.,3,3,3,3,3,3,2,2,3,3,3,0,3,1,3,38,1
Cranberry Co.,3,3,3,3,3,3,2,2,2,0,3,3,3,0,3,36,1
Custard Apple Co.,3,3,3,3,0,3,2,1,1,3,3,3,0,1,3,32,2
Date Co.,3,3,3,3,0,3,2,2,0,0,0,0,0,0,0,19,2
Dragon Fruit Co.,3,3,3,3,3,3,2,3,1,3,3,3,1,1,3,38,1
Durian Co.,3,3,3,3,3,3,1,0,0,0,3,0,1,1,3,27,2
Elderberry Co.,3,3,3,2,0,3,0,0,1,3,0,3,1,1,3,26,2
Eggfruit Co.,3,3,3,3,0,3,2,2,0,0,0,0,0,0,0,19,2
Fig Co.,3,3,3,3,3,2,2,2,2,3,3,0,3,3,3,38,1
Feijoa Co.,3,3,3,3,3,3,1,2,2,3,3,1,3,3,3,39,1
Gooseberry Co.,3,2,3,3,3,3,1,2,3,0,0,3,1,1,3,31,1
Grapefruit Co.,3,3,3,3,3,3,2,1,3,3,3,2,1,3,3,39,1
Grape Co.,3,3,3,3,3,3,2,2,3,3,3,0,1,2,3,37,1
Guava Co.,3,3,3,3,3,3,1,1,3,3,0,0,0,3,1,30,2
Honeydew Co.,3,2,3,3,2,3,2,1,3,3,3,3,0,3,3,37,2
Huckleberry Co.,3,3,3,3,0,3,2,2,2,3,3,3,1,3,3,37,2
Indian Fig Co.,3,3,3,0,0,0,0,2,0,0,0,0,0,2,0,13,0
Imbu Fruit Co.,3,3,3,3,3,1,0,2,0,3,0,2,0,2,1,26,0
Jackfruit Co.,3,3,1,3,3,3,1,2,1,3,3,3,2,2,3,36,1
Jamun Co.,3,3,1,3,0,1,0,2,0,3,0,0,0,2,3,21,0
Jujube Co.,3,2,1,3,3,3,0,2,1,3,3,1,1,2,3,31,1
Kiwi Co.,3,2,3,3,3,3,1,2,0,3,3,1,3,2,3,35,1
Kumquat Co.,3,2,3,3,0,3,0,0,2,3,0,1,0,0,1,21,2
Lemon Co.,3,2,3,3,0,3,2,2,2,3,3,1,0,0,1,28,2
Lime Co.,3,1,3,3,3,3,0,2,2,3,3,0,1,1,1,29,1
Lychee Co.,3,3,3,3,3,3,0,0,1,3,0,3,0,1,3,29,2
Longan Co.,3,3,3,3,0,0,0,0,2,2,1,0,0,1,3,21,0
Mango Co.,3,3,1,3,3,3,1,1,3,1,1,0,2,2,3,30,1
Mulberry Co.,2,3,1,3,3,3,3,2,2,3,1,3,1,1,3,34,3
Melon Co.,2,3,1,3,0,3,2,2,1,3,0,3,1,3,3,30,3
Nashi Pear Co.,2,3,3,3,3,3,0,2,2,3,0,2,0,1,3,30,3
Nectarine Co.,2,2,3,3,3,3,2,2,0,0,3,0,0,2,3,28,3
Orange Co.,3,3,3,3,3,2,1,2,2,3,3,0,0,0,3,31,1
Olive Co.,3,3,3,3,3,2,1,2,2,3,3,3,2,2,3,38,1
Papaya Co.,3,3,3,3,2,2,0,0,0,2,0,0,1,3,0,22,0
Passion Fruit Co.,3,3,3,3,3,3,2,3,3,3,3,3,1,2,3,41,1
Peach Co.,3,2,3,1,3,3,2,3,3,3,3,3,1,3,3,39,1
Pear Co.,3,2,3,1,2,2,0,2,2,2,2,2,1,3,3,30,1
Pineapple Co.,3,2,3,1,3,3,2,2,2,2,2,2,0,0,3,30,1
Plum Co.,3,2,3,1,3,3,1,2,0,3,3,2,1,1,3,31,1
Pomegranate Co.,3,2,3,3,0,2,1,2,2,3,0,2,0,0,3,26,2
Quince Co.,3,2,3,3,3,2,1,0,2,0,0,2,0,0,3,24,2
Raspberry Co.,3,3,3,3,0,2,1,0,0,3,3,2,0,3,2,28,2
Sapodilla Co.,3,3,2,3,3,3,0,3,1,3,3,2,1,1,2,33,1
Starfruit Co.,3,3,3,3,0,0,2,0,0,3,0,2,1,0,2,22,0
Strawberry Co.,3,3,3,3,0,3,2,2,2,3,0,0,1,2,2,29,2
Tangerine Co.,3,3,3,3,2,3,0,0,1,3,3,1,1,2,2,30,2
Tomato Co.,3,3,3,3,0,3,0,0,0,3,3,0,0,3,2,26,2
